Country Relation;Country Relation Vice Versa;Origin Country;Destination Country;GDP WB origin;GDP WB Destination;Lat Origin;Lon Origin;Lat Destination;Lon Destination;Distance;Rate 0 - 49 kg;Rate 50 - 99 kg;Rate 99 - 149 kg;Rate 149 - 199 kg;Rate 199 - 299 kg;Rate 299 - 399 kg;Rate 399 - 499 kg;Rate 499 - 599 kg;Rate 599 - 699 kg;Rate 699 - 799 kg;Rate 799 - 899 kg;Rate 899 - 999 kg;Rate 999 - 1099 kg;Rate 1099 - 1199 kg;Rate 1199 - 1299 kg;Rate 1299 - 1399 kg;Rate 1399 - 1499 kg;Rate 1499 - 1749 kg;Rate 1749 - 1999 kg;Rate 1999 - 2249 kg;Rate 2249 - 2499 kg;Rate 2499 - 2999 kg;Rate 2999 - 3499 kg;Rate 3499 - 3999 kg;Rate 3999 - 4499 kg;Rate 4499 - 4999 kg;Rate 4999 - 5999 kg;Rate 5999 - 6999 kg;Rate 6999 - 7999 kg;Rate 7999 - 8999 kg;Rate 8999 - 9999 kg;Rate 9999 - 10999 kg;Rate 10999 - 11999 kg;Rate 11999 - 12999 kg;Rate 12999 - 13999 kg;Rate 13999 - 14999 kg;Rate 14999 - 15999 kg;Rate 15999 - 16999 kg;Rate 16999 - 17999 kg;Rate 17999 - 18999 kg;Rate 18999 - 19999 kg;Rate 20000-21499 kg;Rate 21500-22999 kg;Rate 23000-24499 kg
SE_CZ;CZ_SE;SE;CZ;537610.0;243530.0;58.51761;13.45279;48.84433;17.09269;634.0289449398093;89.37200932552528;90.85480844192382;94.43331970863368;94.8369916810334;100.80770803512937;105.2140085129463;111.0766990790124;119.77868813719633;129.58366975661193;140.4482849202525;150.20507421630646;161.13733999253228;170.38907870331647;179.9740923328052;190.43091883584603;200.62853464764228;208.9235145281026;219.86230808763779;229.6788105182451;241.15216390686433;249.53427087501595;261.02100787896376;268.7856043570497;279.9467021438257;291.0244787036142;319.74961665810457;341.1064557836297;378.0537858593047;400.02608931985066;420.1548325393112;439.8795150306177;478.55194756643897;490.6394869280761;497.7629007433812;520.9105692915242;530.2800686786431;540.9476443310025;549.7562742560314;558.9334757657689;569.5047370073888;579.5547351128789;590.5747607130154;594.7013754489795;605.3987113388355
SK_RO;RO_SK;SK;RO;104574.0;248716.0;48.8226299;17.15524;46.34595;21.2844;248.46575918373728;51.365630044829466;53.094014822645406;59.61535271566728;70.6647767031964;75.66771930068178;74.4692526262047;74.75442913605148;74.91947350234625;77.13617714492187;77.47106775498862;89.39549673657518;98.94024246006923;109.64939355194467;121.34581225647176;129.10540097323718;140.94056002014912;151.87846926971386;165.21465360587936;182.28447333468716;189.88836764723902;201.62438002883158;209.98138245493487;218.8651290879729;230.36256405123063;241.84034036796587;249.46765129500858;270.49428006534356;289.0790852575088;299.1871798121342;310.4736052957389;319.8608445662405;330.5810785358792;341.2610947970552;348.9094766892218;359.38247526150394;370.085963298167;382.2675613641624;389.7346632783385;399.58468926367016;410.4693917855814;422.0744472588369;429.49600623267906;429.7628996888067;440.0983665372224
RO_SK;SK_RO;RO;SK;248716.0;104574.0;46.34595;21.2844;48.8226299;17.15524;342.78574889285113;87.15563101524526;83.8674203620453;88.47014121508649;90.21817407438948;95.58291701739043;97.93040715327201;99.48478488475014;105.99706290263202;109.57223444887299;115.54347346974107;120.24792211477953;125.70709236955828;130.50011295348673;140.3358752784849;151.28273371635441;159.54971517546267;170.20854103478533;181.17512421885135;189.55510172688284;229.7381670060628;249.3727156403179;269.1950329821464;282.0390182028911;290.5499971341171;301.9007412123539;310.80296465593364;320.17465763047863;329.83102993455685;350.3550289721801;380.05922297602353;400.9766314749151;419.2647740243829;440.2634102253311;480.54562314127014;484.8802585003021;489.8786686501552;495.6291292146304;500.6385970067116;505.0021857045333;510.0878146881981;514.56667394769;520.633220391099;519.9835408460497;518.5948314053687
CZ_CZ;CZ_CZ;CZ;CZ;243530.0;243530.0;49.56757;13.32155;48.84433;17.09269;779.7975170711338;101.97251699006688;101.65133648723851;104.92193127782218;110.91470204001291;115.16267617226318;124.2639490584881;129.6906867940577;132.58084712290298;137.90127423066866;141.59924726017047;147.4496979593099;152.3006682585379;156.38660075220403;161.3554200989674;164.3533045475862;170.3999389895528;199.7491931844573;209.17473642074344;213.9764728429164;217.16536100488733;222.40768545443285;213.4956949754008;223.67043045753064;237.25496693034484;247.73136316708593;261.28787090728343;272.84388715159935;286.28102604815444;297.6308664741565;311.4981878799081;321.8371599961453;413.45585990480896;427.7629930181995;442.7175189115829;455.59256786907196;529.5319387560579;549.1769149726338;563.9457888107303;581.7436421881494;598.7174961712005;634.2462930443301;674.2044460189489;678.6569066916124;690.8685827640157
CZ_DE;DE_CZ;CZ;DE;243530.0;3806060.0;49.56757;13.32155;52.57444;13.35121;571.8940321185981;18.67674424765715;33.1192410501701;39.522685283885245;40.34168894979381;45.80189863761719;50.08719266525267;57.70127205251816;64.40913683765864;65.98227502324204;84.57449701056429;83.77442515646514;84.65994167660185;103.3387502966115;104.2076176191423;103.82755687329387;104.74460505408817;104.00201508939008;124.07588685389767;123.10970097222946;143.24364597804788;142.41446178427665;162.61796753336247;181.65509736447322;181.32101778304323;200.4773004826934;200.61722805015273;227.25462899741302;256.9998866106083;292.7910889651476;354.12727727413676;421.01792311326375;469.4836606432689;470.5098373926877;648.2263413380654;647.9585400496369;648.0805476160239;648.9083975045475;650.2474135397075;648.3619834732314;646.0230370781209;647.5975602731643;648.4029441032754;651.1820950575033;647.2651938078161
CZ_DE;DE_CZ;CZ;DE;243530.0;3806060.0;49.56757;13.32155;53.54976;10.02579;613.6428043557463;180.53684647991963;190.31034848658783;198.72909164125383;210.90922408593232;218.73657322771803;229.74410347359938;241.27177075557222;258.7339481817365;279.66938617248326;291.6033093062697;299.74983300410946;318.99328313278147;339.4411280468845;360.80300687546986;378.4936456680112;399.391858888291;438.5994143849335;458.88786221595524;481.2357755188148;489.91892302432933;499.57774991855734;510.4082039027406;519.3128549887983;528.8423458732236;551.101122288875;570.8429364045477;589.1855283915414;630.6761932415562;681.4017614726871;690.4713129228431;710.4801546565097;728.8053786095662;749.8705020520301;778.1996513889961;801.0704408779491;819.8322493516768;841.2727861491926;859.2529844684217;890.8414730690926;908.4700537132508;929.6072219208806;950.5247001229725;960.3414736240892;969.9411826409136
CZ_DE;DE_CZ;CZ;DE;243530.0;3806060.0;49.56757;13.32155;48.82659;10.09095;293.40848098493706;75.27508239218137;74.63566569658109;81.09893004391688;86.08636011493381;89.63477041636538;100.37700904020173;112.55633942980792;119.18832417363065;130.39207041900588;139.45597548300373;151.6912820497927;160.1662946937885;168.99118420715357;179.41210368555292;188.63370910406962;197.78822967209555;207.36774664604997;219.29156329037775;238.9001674528786;260.1416799936927;269.1944420305271;280.2147462902093;291.71656222654195;298.8540887978328;318.81968836811103;330.95152965495544;352.2748758593477;359.147773336223;368.3549656656894;384.7136862421577;399.6025125533736;415.68688659180896;428.9638313328527;439.7404476697889;449.69339844817534;458.46189952574326;468.4682458833434;480.429486039832;490.52704691285845;499.22121134954585;511.51763187169774;520.9053615309454;530.4471018746739;540.5894355116602
CZ_DE;DE_CZ;CZ;DE;243530.0;3806060.0;49.56757;13.32155;48.1852109;11.5876766;452.3360358657375;80.69888193688342;85.83783023719815;88.06235852843514;101.99500225446752;109.8368275366864;114.18152913280804;118.83431602631273;130.57592792875792;138.25440309628596;150.80414060942084;154.36841369501448;158.79341208377718;164.14187739962566;172.27352811198708;181.43093410141066;189.71476338579902;198.03438446450812;211.73192736684024;219.13849088451468;229.71063943257437;240.89038523866677;250.38358558534506;259.6267594664134;271.58345824705304;280.4895823088896;290.76672614010835;332.3342437710401;350.47180744336583;362.5852091726012;370.2921477732528;379.8349078914812;400.119326815749;420.8486311715492;440.6358126204447;460.357901633053;478.5362870826243;498.92480910054604;519.7306997401745;530.7054744469659;541.4090434921425;547.6354509990688;559.8433408358001;559.5382349479977;559.8800318456871
CZ_DE;DE_CZ;CZ;DE;243530.0;3806060.0;49.56757;13.32155;47.85611;12.96159;363.1931755931793;74.14890692981453;78.68653578860341;85.9788302419345;88.72326384621853;103.57523130491144;109.86542929099495;114.30513701899724;118.6011927492045;130.62051601177487;139.32826637567516;148.8834120326692;154.3921538775591;161.59118051091463;165.41767759439097;170.21404538230203;180.0719494444134;190.82892848242005;197.70129279201592;208.70172769388515;219.74587265597452;229.3431445723848;240.19027683090502;249.9172908443238;258.01729519206305;271.10498262020064;280.23243005559914;288.27314234373694;331.0951356270998;350.0935089351346;360.4346258260129;369.9989821207514;380.12652558900226;399.4710503161622;418.3321600650123;439.35591163271897;460.1372240763328;479.9965453871903;500.595198312569;519.8618774314235;537.7539461204983;560.6693089346999;579.1567167571665;598.6318390855539;619.6306270540717
CZ_DE;DE_CZ;CZ;DE;243530.0;3806060.0;49.56757;13.32155;48.78757;11.39817;542.6065703274862;66.0526723661149;65.50359417571983;70.21591595406932;68.82096092266204;69.28947590281813;69.60284129837609;72.90888234631464;83.31999593530608;91.67806748764635;103.9956944225008;114.05785093298555;128.16920463293232;141.2900304139689;145.1129488032551;151.89176220161696;164.27241752124058;174.98397302554287;187.23954706928546;204.1630217950936;218.99912199596486;262.1459637005286;279.10413473340117;299.54635155068564;315.23887935545304;348.2450708474056;384.9204682617546;402.933788775975;419.8700621001641;435.4218090780465;455.4895303542526;489.2969255741297;488.52173077701553;489.38263890632174;488.4981854525662;557.9619533230217;559.1619520605307;556.3564026046281;559.2741231200878;558.6862940559469;559.0416534205368;559.1939003792921;559.8252095270718;559.716368791636;559.173821305869
